"course","CourseName","CourseCredits","CourseSubject","CourseCatalog","Description","Career"
"http://focu.io/data#course_POLI_491","Directed Studies in Political Science","3.0","POLI","491","This special reading course is designed in conjunction with a faculty member to explore topics and themes in a specific research area of interest to the student and faculty member.","UGRD"
"http://focu.io/data#course_SPEC_818","SPEC DOCTORAL LEVEL STUDIES","6.0","SPEC","818","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_SCEN_498","SPEC TOPICS IN SCENOGRAPHY","3.0","SCEN","498","Prerequisite: Permission of the Department of Theatre is required.
Description: This course focuses on the study of specialized aspects of scenography design conception.

NOTE: Specific topics, and additional prerequisites if required, are stated in the Undergraduate Class Schedule.","UGRD"
"http://focu.io/data#course_SCEN_498","SPEC TOPICS IN SCENOGRAPHY","3.0","SCEN","498","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_SCEN_498","Special Topics in Scenography","3.0","SCEN","498","Prerequisite: Permission of the Department of Theatre is required.
Description: This course focuses on the study of specialized aspects of scenography design conception.

NOTE: Specific topics, and additional prerequisites if required, are stated in the Undergraduate Class Schedule.","UGRD"
"http://focu.io/data#course_SCEN_498","Special Topics in Scenography","3.0","SCEN","498","Please see UGRD Calendar","UGRD"
"http://focu.io/data#course_APLI_635","LANGUAGE ASSESSMENT","3.0","APLI","635","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_EDUC_494","Primary Teaching Seminar","3.0","EDUC","494","The seminar complements EDUC 493 by providing the opportunity, means, and impetus for students to reflect critically on their teaching philosophy and practice. Topics include the development of appropriate and stimulating learning environments, primary program guidelines set out by the the Ministère de l'Enseignement supérieur, planning and implementation of curriculum units, and other current issues in primary education.

Notes: To remain in the Early Childhood and Elementary Education Specialization program and to be
recommended for certification, students must achieve at least a “B” grade in this course. Students who obtain a grade that is below the above-required level are placed on conditional standing within the program and are informed in writing. Students are allowed to repeat the course in question only once, the next time the course is given, in order to achieve the required grade. Students who obtain a “fail” grade in EDUC 493 or a grade below the minimum “B” in EDUC 494 must repeat BOTH courses concurrently, even if the students achieve the minimum grade in one of the two courses.","UGRD"
"http://focu.io/data#course_BLDG_6781","ENERGY MGMT. IN BUILDINGS","4.0","BLDG","6781","Please see GRAD Calendar","GRAD"
"http://focu.io/data#course_MARA_200","Introduction to Modern Standard Arabic I","6.0","MARA","200","This course provides an intensive introduction to the basic elements of Modern Standard Arabic for the student with no knowledge of the language. Instruction addresses all the language competencies of Modern Standard Arabic.

NOTE: Students who have received credit for MARA 203 or 205 or 207 or heritage speakers or students with knowledge of the Arabic script may not take this course for credit.","UGRD"
"http://focu.io/data#course_BTM_490","Special Topics in Business Technology Management","3.0","BTM","490","This course allows for more intensive examination of one or more topics in business technology management.","UGRD"
